Prompt,Intent,Entities
Return vulnerabilities with exploit metadata,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Show exploitable issues by CVE,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
What threats come with exploit availability?,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Enumerate vulnerabilities that are currently exploitable,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Give me a dataset of vulnerabilities with exploit access,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
List attackable vulnerabilities,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Show me known vulnerabilities that are exploitable,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Get a list of vulnerabilities for which exploit code exists,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
List vulnerabilities backed by PoC exploit,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
What CVEs have active exploit support?,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Which threats are linked with published exploits?,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
List vulnerable entries with exploit capabilities,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Get details of vulnerabilities that are exploitable,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
List only those vulnerabilities with public exploit disclosure,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Show me security weaknesses that can be exploited,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
List all exploit-available security issues,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Return exploitable vulnerabilities in a report format,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Show exploitable flaws in the system,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
List vulnerabilities based on exploit availability,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
What known vulnerabilities are paired with exploits?,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Give me exploitable CVEs only,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Fetch all issues with an exploit flag set,exploit_available,"CVE, Plugin, Exploit?, IP Address, Severity"
Show vulnerabilities discovered in the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List vulnerabilities found within the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What vulnerabilities were logged in the last 4 weeks?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get vulnerabilities detected in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display vulnerabilities reported recently (last 30 days),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Which vulnerabilities were identified in the past month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show all vulnerabilities discovered during the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch vulnerabilities found recently (30-day window),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What are the latest vulnerabilities from the past month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List recent vulnerabilities discovered in the last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get newly found issues within the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Return recent vulnerabilities reported in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display security flaws from the last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull vulnerability data from the last 4 weeks,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List new vulnerabilities detected in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show CVEs disclosed in the last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List recent entries from the previous 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show newly identified threats from the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Which CVEs were logged in the past month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give me all issues found within 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch threats detected in the recent 4 weeks,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show findings from the past month only,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull vulnerabilities added within the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List active security flaws from the previous month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Provide recent vulnerability findings (last 30 days),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List security bugs found in the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give a summary of threats from the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull a report of recent vulnerabilities (30-day range),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Which exploits were disclosed in the last 30 days?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show newly published CVEs from the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List known vulnerabilities from the previous 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get disclosures from the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch vulnerabilities announced last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get 30-day security update information,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Which bugs were introduced in the past month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display threats reported in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Report on vulnerabilities found this month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch all security issues from the last 4 weeks,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What’s the list of last month's threats?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show CVEs submitted in the previous month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Retrieve all vulnerabilities published in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get vulnerability summaries from the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List recent flaws identified in the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What new security vulnerabilities were added last month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give recent CVE data from past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List issues identified within the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull month-old security issues,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Retrieve threats discovered during the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch newly listed CVEs from last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull monthly threat detection results,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show vulnerabilities flagged last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What CVEs were found in the last month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display security alerts raised during the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give CVEs from the last 30-day period,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch month-wise vulnerabilities,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get last month’s discovered security flaws,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show threat intel for the previous 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get vulnerabilities from the last complete month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show issues filed last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List 30-day vulnerability records,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Return past month’s CVE discoveries,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give month-wise disclosed vulnerabilities,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull entries added last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What was discovered in the last calendar month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get security issues logged within 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List vulnerabilities discovered during past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Report flaws logged within 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get vulnerability records from last 4 weeks,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show month-to-date security issues,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Return issues raised last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get past month’s threat reports,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What vulnerabilities emerged in the past 30 days?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull bugs reported in the last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show month-wise security disclosures,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give vulnerabilities found in the recent month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List 30-day discovery data for CVEs,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display CVEs found within the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give a report on flaws from the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
What were the latest 30-day threats?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get updates on CVEs found last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Which bugs surfaced in the last month?,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give recently reported CVEs (past 30 days),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show patchable flaws from the last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Retrieve entries submitted within the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List CVEs created in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get newly filed vulnerabilities (30 days),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show issues submitted in last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull latest threats from past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Retrieve newly flagged vulnerabilities,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get all 30-day old disclosures,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display newly surfaced vulnerabilities from last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List recently added issues (last 30 days),vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Report bugs that emerged in the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show previous month’s security vulnerabilities,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List disclosures within 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get flaws published in the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Display CVEs created last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get 30-day history of vulnerabilities,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch 4-week vulnerability results,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull monthly-discovered vulnerabilities,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List monthly new CVEs,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show 30-day update on flaws,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Return findings from the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Show all newly detected issues from the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Give me vulnerabilities logged last month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Fetch CVEs found over the last 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Get threat data captured in the past month,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
List all security flaws reported in 30-day window,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Return results for recent 30-day discoveries,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
Pull security intel from the past 30 days,vulnerabilities_last_month,"CVE, Plugin, Vuln Publication Date"
How many vulnerabilities are patchable?,patchable,Solution
List the count of patchable vulnerabilities,patchable,Solution
Show patchable vulnerability count,patchable,Solution
Get the number of patchable vulnerabilities,patchable,Solution
Count of vulnerabilities that are patchable,patchable,Solution
What is the total number of patchable vulnerabilities?,patchable,Solution
How many fixable vulnerabilities exist?,patchable,Solution
Provide number of vulnerabilities that can be patched,patchable,Solution
Tell me how many vulnerabilities are fixable,patchable,Solution
How many vulnerabilities have patches available?,patchable,Solution
Show the number of vulnerabilities that can be patched,patchable,Solution
Give me the count of vulnerabilities with patches,patchable,Solution
Fetch patchable vulnerability statistics,patchable,Solution
Get patchable vulnerability metrics,patchable,Solution
Total patchable vulnerabilities?,patchable,Solution
How many vulnerabilities are currently patchable?,patchable,Solution
How many threats are patchable?,patchable,Solution
Count patchable vulnerabilities in the system,patchable,Solution
How many vulnerabilities have known patches?,patchable,Solution
How many of the vulnerabilities are patchable?,patchable,Solution
Tell the number of patchable vulnerabilities,patchable,Solution
What’s the patchable vulnerability count?,patchable,Solution
Number of vulnerabilities that can be resolved with patches,patchable,Solution
How many vulnerabilities can be mitigated by patching?,patchable,Solution
Find the number of vulnerabilities with patch options,patchable,Solution
How many security issues are patchable?,patchable,Solution
Give total of patch-eligible vulnerabilities,patchable,Solution
Show vulnerabilities that are patchable (count only),patchable,Solution
Fetch count of vulnerabilities fixable via patch,patchable,Solution
Total vulnerabilities that can be fixed with a patch?,patchable,Solution
How many vulnerabilities can be addressed via patch?,patchable,Solution
Get me count of patch-available vulnerabilities,patchable,Solution
Patchable vulnerability figure?,patchable,Solution
Display number of patchable risks,patchable,Solution
Provide statistics for patchable vulnerabilities,patchable,Solution
How many of these vulnerabilities are patchable?,patchable,Solution
Vulnerability patchability count?,patchable,Solution
Get me patchable vulnerability numbers,patchable,Solution
Total number of patchable issues?,patchable,Solution
How many items are patchable in vulnerability list?,patchable,Solution
Return count of fixable vulnerabilities,patchable,Solution
What’s the number of vulnerabilities that are patchable?,patchable,Solution
List count of vulnerabilities with patch option,patchable,Solution
Number of patch-resolvable vulnerabilities?,patchable,Solution
Get vulnerabilities that have a fix available (count),patchable,Solution
How many of the identified vulnerabilities are patchable?,patchable,Solution
Fetch number of vulnerabilities with patch in place,patchable,Solution
Give figure for patchable CVEs,patchable,Solution
How many vulnerabilities can be patched directly?,patchable,Solution
Count patchable entries in vulnerability list,patchable,Solution
How many known vulnerabilities can be patched?,patchable,Solution
How many vulnerabilities are currently fixable via patch?,patchable,Solution
Provide count for patchable CVEs,patchable,Solution
Get the number of patchable CVEs,patchable,Solution
How many security gaps are patchable?,patchable,Solution
Count of issues that are patchable,patchable,Solution
List how many vulnerabilities are eligible for patch,patchable,Solution
How many entries have patch support?,patchable,Solution
Get patchable items count from the vulnerability list,patchable,Solution
How many vulnerabilities include a patch?,patchable,Solution
Show quantity of patchable threats,patchable,Solution
How many threats can be patched?,patchable,Solution
What’s the amount of patchable vulnerabilities?,patchable,Solution
Total patchable CVEs in the system?,patchable,Solution
Patch availability count for vulnerabilities?,patchable,Solution
Display number of patch-eligible security flaws,patchable,Solution
How many weaknesses are patchable?,patchable,Solution
How many patchable bugs exist?,patchable,Solution
Get total patchable flaws,patchable,Solution
Number of risks that can be patched?,patchable,Solution
How many vulnerabilities have remediation via patch?,patchable,Solution
List number of patchable security defects,patchable,Solution
Give a total of vulnerabilities that are patch-ready,patchable,Solution
How many issues are marked as patchable?,patchable,Solution
How many vulnerabilities are listed as patchable?,patchable,Solution
Give me number of vulnerabilities fixable via update,patchable,Solution
Count entries with patch availability,patchable,Solution
How many vulnerabilities are labeled patchable?,patchable,Solution
How many patchable vulnerabilities in current dataset?,patchable,Solution
How many known issues have patches?,patchable,Solution
Give patch count across vulnerabilities,patchable,Solution
Get the amount of patchable threat entries,patchable,Solution
Which vulnerabilities are patchable (number only)?,patchable,Solution
How many flaws can be corrected by patching?,patchable,Solution
Patchable vulnerability count in the data?,patchable,Solution
Display fixable vulnerability count,patchable,Solution
Patchable count of weaknesses in the system,patchable,Solution
How many vulnerabilities offer patch support?,patchable,Solution
How many threats are patch-remediable?,patchable,Solution
Get all patchable issue count,patchable,Solution
Count of all security issues with a patch?,patchable,Solution
How many patch-ready CVEs are there?,patchable,Solution
Get number of patch-enabled vulnerabilities,patchable,Solution
How many current vulnerabilities can be patched?,patchable,Solution
List the patchable count of issues,patchable,Solution
How many issues with patch are there?,patchable,Solution
Patch-eligible vulnerability count?,patchable,Solution
How many patchable entries exist?,patchable,Solution
How many risks can be patched with updates?,patchable,Solution
Count of items in vulnerability set that are patchable,patchable,Solution
How many vulnerabilities are tagged as patchable?,patchable,Solution
Patch-supporting vulnerability count?,patchable,Solution
Provide the patchable vulnerability number,patchable,Solution
Patch availability statistics for vulnerabilities?,patchable,Solution
How many flaws are patch-supported?,patchable,Solution
Patch count of vulnerabilities currently identified,patchable,Solution
Give number of vulnerabilities with fix option,patchable,Solution
What’s the count of security flaws with patch available?,patchable,Solution
Provide count of patchable security vulnerabilities,patchable,Solution
Total number of issues that can be patched,patchable,Solution
How many bugs in the list are patchable?,patchable,Solution
Patchable vulnerability volume?,patchable,Solution
Get count of flaws with patch available,patchable,Solution
Number of vulnerability entries with patch ready,patchable,Solution
How many issues can be solved with a patch?,patchable,Solution
Show patchable CVE count,patchable,Solution
Display total patch-supported vulnerabilities,patchable,Solution
Count vulnerabilities resolved through patch,patchable,Solution
How many findings have available patches?,patchable,Solution
List the total number of patchable findings,patchable,Solution
Display vulnerabilities by exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show vulnerabilities sorted by how easy they are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities ranked by exploitability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort vulnerabilities based on exploit difficulty,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Organize vulnerabilities by ease of exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
How easy is it to exploit each vulnerability?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show exploit ease for all vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get vulnerabilities ordered by how easily they can be exploited,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Group vulnerabilities by exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Arrange vulnerabilities by ease of exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities categorized by exploitability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Which vulnerabilities are easiest to exploit?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show vulnerabilities by exploit difficulty rating,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank vulnerabilities based on exploitability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display a list of vulnerabilities by ease of attack,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List all vulnerabilities by how easy they are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show ease of exploit for vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort vulnerabilities by how difficult they are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get vulnerabilities grouped by exploitability level,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Which vulnerabilities have low exploit difficulty?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display vulnerabilities with exploit ease levels,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get exploit difficulty per vulnerability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank vulnerabilities by how easy the exploit is,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities by attack simplicity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Organize vulnerability data by exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show vulnerabilities by exploit risk level,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display vulnerabilities according to exploit complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Which issues are easiest to exploit?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Group vulnerabilities based on ease of exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
How difficult is it to exploit each vulnerability?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort by exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities from easiest to hardest to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank vulnerabilities by how simple they are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Categorize vulnerabilities by exploitability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Vulnerabilities sorted by ease of attack,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get vulnerabilities arranged by exploit difficulty,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display exploit difficulty for each vulnerability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Group vulnerabilities based on how easy they are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank based on how exploitable the vulnerabilities are,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
How easy is each vulnerability to exploit?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Provide exploitability scores for vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display vulnerabilities based on attack difficulty,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities depending on how easily they can be exploited,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show how exploitable each vulnerability is,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Order vulnerabilities by exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show vulnerabilities sorted by attack complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Which vulnerabilities are the most exploitable?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities from most to least exploitable,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Arrange vulnerabilities by ease of exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display ease of exploitation across vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get vulnerabilities in order of exploitability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Provide list of vulnerabilities by exploit difficulty,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show vulnerabilities with exploit complexity levels,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display ranked exploit ease of vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show list of vulnerabilities with low exploit complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Group vulnerabilities by how exploitable they are,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort vulnerabilities according to exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities ordered by exploit complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display how easy each vulnerability is to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get vulnerabilities and their exploit complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort vulnerability records by exploit difficulty,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show exploitation difficulty for each vulnerability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank vulnerabilities by ease of exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Order vulnerabilities based on exploitability level,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort by exploitation complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get attack ease for all vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Categorize vulnerabilities by difficulty of exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
How easy are these vulnerabilities to exploit?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank entries by how simple they are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Which threats are easiest to exploit?,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get vulnerabilities listed by exploit ease,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Fetch vulnerabilities based on exploit complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display exploit potential for each vulnerability,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get ease of exploitation for vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List vulnerabilities by attacker effort required,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort vulnerability list by ease of exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Provide exploit effort ranking of vulnerabilities,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Arrange list by exploit simplicity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Order vulnerabilities by ease of exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Display vulnerability difficulty for exploitation,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Group by how easy vulnerabilities are to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Rank threats by ease of attack,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
List all vulnerabilities with exploit difficulty tags,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Show how simple each vulnerability is to exploit,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Get list of vulnerabilities with associated exploit complexity,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
Sort vulnerabilities by attacker workload,vulnerability_exploit_ease,"CVE, Plugin, Exploit Ease, Exploit?"
